COD_RH;                 AUTOR;                TITULO;                AÑO;                LUGAR;                REVISTA;                EDITORIAL;                ISSN
206601;Marco Antonio Aguilera Prado;Economía Internacional: un curso insuficiente para entender comercio internacional.;2011;Colombia;Revista De Economía  Administración;Universidad Autonoma De Occidente Vicerrectoria De Investigaciones Y Desarrollo Tecnologico;1794-7561               
206601;Marco Antonio Aguilera Prado;Política Ambiental en Colombia: entre la formulación y la implementación;2012;Colombia;Revista Criterios;Editorial Bonaventuriana;2011-5733               
206601;Marco Antonio Aguilera Prado;Corrientes del ambientalismo y alternativas de gestión desde la sustentabilidad y la ética ambiental;2014;Colombia;Semestre Económico;Banco De La Republica Borradores Semanales De Economia;0120-6346               
206601;Marco Antonio Aguilera Prado;Los flujos de comercio intraindustrial en el Valle del Cauca 1985 - 2000;2004;No Aplica;Observatorio Económico Y Social Del Valle Del Cacuca;;1692-7958               
206601;Marco Antonio Aguilera Prado;Caracterización del mercado laboral en el área metropolitana de Cali-Yumbo y la zona pacífica colombiana 2000-2002;2003;Colombia;Observatorio Económico Del Valle Del Cauca;Feriva S A;1657-7140               
206601;Marco Antonio Aguilera Prado;El comercio del Valle del Cauca con la Comunidad Andina de Naciones en la década del 90;2003;Colombia;Observatorio Económico Del Valle Del Cauca;Feriva S A;1657-7140               
206601;Marco Antonio Aguilera Prado;Productividad y competitividad: una propuesta para el mejoramiento del mercado laboral de Cali-Yumbo y la zona pacífica;2004;No Aplica;Documentos De Coyuntura Coyuntura Económica Colombiana;Vicerrectoria De Investigaciones Y Desarrollo Tecnologico Uao;1657-6055               
206601;Marco Antonio Aguilera Prado;Reflexiones sobre la integración económica y la política comercial: ¿Por qué los países forman organizaciones de libre comercio y mantienen o aumentan al mismo tiempo las barreras comerciales con el resto del mundo?;2006;No Aplica;Revista Debates Latinoamricanos;;0
206601;Marco Antonio Aguilera Prado;Órdenes de flujo, tasa de interés y tasa de cambio nominal: un ejemplo de redes neuronales para Colombia 2005;2006;No Aplica;Revista De Economía  Administración;Universidad Autonoma De Occidente Vicerrectoria De Investigaciones Y Desarrollo Tecnologico;1794-7561               
206601;Marco Antonio Aguilera Prado;Métricas sin control: el caso de la ingeniería en Colombia;2023;Colombia;REVISTA CS EN CIENCIAS SOCIALES;;2011-0324               
206601;Marco Antonio Aguilera Prado;Análisis de Indicadores Socio económicos y su impacto en la Salud Pública de Bogotá;2013;Colombia;Tecnura;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;0123-921X               
206601;Marco Antonio Aguilera Prado;Brecha en matemáticas según sexo. Caso: universitarios de Colombia;2023;;REVISTA BRASILEIRA DE ESTUDOS DE POPULACAO;Associacao Brasileira De Estudos Populacionais;0102-3098               
206601;Marco Antonio Aguilera Prado;Regional determinants of Colombian intra-industry trade;2022;Suiza;INTERNATIONAL JOURNAL OF TRADE AND GLOBAL MARKETS;Inderscience Publishers;1742-755X               
206601;Marco Antonio Aguilera Prado;Diferencias en razonamiento cuantitativo de los universitarios colombianos por modalidad de formación y género;2021;México;REVISTA DE LA EDUCACION SUPERIOR;Asociacion Nacional de Universidades e Instituciones de Educacion Superior AC;2395-9037               
206601;Marco Antonio Aguilera Prado;Citation and Similarity in Academic Texts: Colombian Engineering Case;2022;Bulgaria;CYBERNETICS AND INFORMATION TECHNOLOGIES;Institute of Information and Communication Technologies, Bulgarian Academy of Sciences;1311-9702               
206601;Marco Antonio Aguilera Prado;Recent Themes of Colombian Scientific Engineering Journals in Scopus;2021;Reino Unido;INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS;Science and Information Organization;2158-107X               
206601;Marco Antonio Aguilera Prado;Forecasting model with machine learning in higher education ICFES exams;2021;Indonesia;INTERNATIONAL JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING;Institute of Advanced Engineering and Science IAES;2088-8708               
206601;Marco Antonio Aguilera Prado;Transactions on Antennas and Propagation: A 30-Year Evolution;2020;India;INTERNATIONAL JOURNAL OF MECHANICAL AND PRODUCTION ENGINEERING RESEARCH AND DEVELOPMENT;Transstellar Journal Publications and Research Consultancy Private Limited TJPRC;2249-8001               
206601;Marco Antonio Aguilera Prado;Machine Learning Applied to ICFES Tests to Identify Measurement Patterns in Students;2020;India;INTERNATIONAL JOURNAL OF MECHANICAL AND PRODUCTION ENGINEERING RESEARCH AND DEVELOPMENT;Transstellar Journal Publications and Research Consultancy Private Limited TJPRC;2249-8001               
206601;Marco Antonio Aguilera Prado;E-commerce y aceptación tecnológica en universitarios de modalidad virtual;2020;Venezuela;ESPACIOS;Sociacion de Profesionales y Tecnicos del CONICIT;0798-1015               
206601;Marco Antonio Aguilera Prado;Industria 4.0: tendencias de la literatura académica reciente;2019;Venezuela;ESPACIOS;Sociacion de Profesionales y Tecnicos del CONICIT;0798-1015               
206601;Marco Antonio Aguilera Prado;Approach to citation determinants of articles from Colombian engineering journals in Scopus;2017;Bulgaria;CONTEMPORARY ENGINEERING SCIENCES;Hikari Ltd;1313-6569               
