COD_RH;                 NOMBRE;                TITULO;                 LIBRO;                FECHA;                ISBN;                LUGAR;                PAGINAS 
206601;Marco Antonio Aguilera Prado;Naturaleza y Sociedad, un pretexto para un seminario de pregrado;La Enseñanza De La Economia En El Contexto Colombiano;2012;9,79E+12;Colombia;p.17 - 22
206601;Marco Antonio Aguilera Prado;Diferencias en las competencias específicas entre los educadores de formación presencial y no presencial;Evaluación de la educación superior una mirada desde Latinoamérica;2017;9,79E+12;Colombia;p.161 - 211 NA
206601;Marco Antonio Aguilera Prado;Tendencias de la literatura en administración de empresas;Lecciones de investigación para la competitividad empresarial;2018;9,79E+12;Colombia;p.63 - 73 NA
206601;Marco Antonio Aguilera Prado;Contextos violentos y competencias ciudadanas Aproximación desde los futuros profesionales colombianos;revolución en la formación y la capacitación para el siglo XXI;2018;9,79E+12;Colombia;p.39 - 44 NA
206601;Marco Antonio Aguilera Prado;Economía convencional y ecológica como simientes de propuestas contra el cambio climático;Repensando el desarrollo Lecturas interdisciplinares;2018;9,79E+12;Colombia;p.111 - 147 NA
206601;Marco Antonio Aguilera Prado;Demanda de educación profesional de calidad superior en Colombia;Revolución en la formación y la capacitación para el siglo XXI;2019;9,79E+12;Colombia;p.148 - 157 NA
206601;Marco Antonio Aguilera Prado;Flexibilidad curricular y competencias genéricas en los programas colombianos de filosofía;Revolución en la formación y la capacitación para el siglo XXI;2019;9,79E+12;Colombia;p.340 - 349 NA
206601;Marco Antonio Aguilera Prado;Diferencias departamentales del comercio intraindustrial colombiano con Estados Unidos y Latinoamérica;Ensayos de investigación sobre comercio y finanzas;2020;9,79E+12;Colombia;p.59 - 110 NA
206601;Marco Antonio Aguilera Prado;Previsiones, descripciones y propuestas de la economía ecológica contra el cambio climático;Sustentabilidad y conciencia ambiental en las ciudades de Abya Yala (Latinoamérica);2020;9,79E+12;Colombia;p.89 - 112 NA
206601;Marco Antonio Aguilera Prado;Bioeconomía, una alternativa de investigación en administración y afines;Temas y métodos de investigación en negocios, administración, mercadeo y contaduría;2020;9,79E+12;Colombia;p.193 - 218 NA
206601;Marco Antonio Aguilera Prado;Temas de la investigación de impacto en Business and International Management;Temas y métodos de investigación en negocios, administración, mercadeo y contaduría;2020;9,79E+12;Colombia;p.11 - 46 NA
1344053;Edgar Alirio Aguirre  Buenaventura;Maximización Del Throughput En Una Radio Cognitiva Implementando Los Protocolos de Enrutamiento DSR Y WCETT Sobre MACNG En CRAHNs En Un Estado de Alerta;Congreso Internacional de Ciencias de la Computación y Sistemas de Información CICCI 2017;2017;9,79E+12;Argentina;p.247 - 257
202355;Lindsay ALVAREZ POMAR;CIAO Collective Intelligence Algorithm for Optimisation;Metaheuristics 14th International Conference, MIC 2022, Syracuse, Italy, July 1114, 2022, Proceedings;2023;9,78E+12;Italia;p.499 - 505
535567;John Petearson Anzola Anzola;State of the Art Construction Based on the J48 Classifier Case Study of Internet of Things;Knowledge Management In Organizations 10th International Conference, Kmo 2015;2015;9,78E+12;Suiza;p.1 - 14 224
535567;John Petearson Anzola Anzola;Exploring data by PCA and kmeans for IEEE Xplore digital library;Proceedings of the The 11th International Knowledge Management in Organizations Conference on The changing face of Knowledge Management Impacting Society;2016;9,78E+12;Alemania;p.1 - 8
217344;Elvis Eduardo Gaona Garcia;Generalidades de las Microrredes Eléctricas;Microrredes Eléctricas;2015;9,79E+12;Colombia;p.13 - 32 1
217344;Elvis Eduardo Gaona Garcia;Comunicaciones, monitoreo y procesamiento digital de señales en microrredes;Microrredes Eléctricas;2015;9,79E+12;Colombia;p.131 - 152 1
630080;Ricardo Alirio Gonzalez Bustamante;plicación en tiempo real de redes neuronales convolucionales YOLOv5 y YOLOv8 para la detección de autobuses del Sistema Integrado de Transporte Público SITP de Bogotá, Colombia;Ciencia Transdisciplinaren la Nueva Era;2023;9,79E+12;Colombia;p.1140 - 1155
630080;Ricardo Alirio Gonzalez Bustamante;Diseño y Simulación de Arreglos de Antena en la Frecuencia de 72 GhzBanda Epara empleo en Redes Móviles 5G;libro prueba ingenio;2018;9,79E+12;Colombia;p.255 - 263
