COD_RH;                 PARTICIPANTE;                 EVENTO;                FECHA;                LUGAR;                PRODUCTOS;                 TIPO_PRODUCTO 
0000206601;Marco Antonio Aguilera Prado;XVI Congreso Nacional de Estudiantes de Economía;2001;IBAGUÉ;;;
0000206601;Marco Antonio Aguilera Prado;11 Encuentro Iberoamericano de Educación Superior de Educación;2016;Canterbury;De la relación entre el razonamiento matemático y la gestión financiera Análisis exploratorio;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000206601;Marco Antonio Aguilera Prado;I Encuentro Internacional de Investigadores de la Red Latinoamericana de Cooperación Universitaria;2004;Belgrano, Argentina;Productividad y competitividad una propuesta para el mejoramiento del mercado laboral de CaliYumbo y la zona pacífica;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000206601;Marco Antonio Aguilera Prado;IX Foro de Investigación Congreso Internacional de Contaduría, Administración e Informática;2004;México DF;Productividad y competitividad una propuesta para mejorar el entorno laboral;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000206601;Marco Antonio Aguilera Prado;XII Asamblea de Rectores de la Red Latinoamericana de Cooperación Universitaria RLCU;2006;So Paulo;Reflexiones sobre la integración económica y la política comercial Por qué los países forman organizaciones de libre comercio y mantienen o aumentan al mismo tiempo las barreras comerciales con el resto del mundo;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000206601;Marco Antonio Aguilera Prado;III Encuentro Latinoamericano de Metodología de las Ciencias Sociales Construcción de opciones metodológicas para las ciencias sociales;2012;MANIZALES;Naturaleza y sociedad del homoeconomicus a lo social como supradimensión;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Resumen;
0000206601;Marco Antonio Aguilera Prado;XVII Congreso Nacional de Estudiantes de Economía;2001;IBAGUÉ;La nueva teoría del Comercio, algunas consideraciones El entorno y el desarrollo regional Nuevas propuestas para la planificación regional;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000206601;Marco Antonio Aguilera Prado;CIGO Congreso Internacional de Gestión Organizacional;2017;MEDELLÍN;Cómo se ha manifestado la política públicade ciencia, tecnología e innovación en Colombia desde 1990 hasta hoy;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000206601;Marco Antonio Aguilera Prado;V Semana de la Investigación Konrad Lorenz;2023;BOGOTÁ, DC;;;
0000206601;Marco Antonio Aguilera Prado;Congreso Internacional de Gestión Organizacional;2017;MEDELLÍN;Como se ha manifestado la política pública de ciencia, tecnología e innovación en Colombia desde 1990 hasta hoy;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000206601;Marco Antonio Aguilera Prado;56 Congreso Internacional de Americanistas;2018;Salamanca;Economía ecológica y sus propuestas contra el cambio climático;Producción técnica  Presentación de trabajo  Ponencia;
0000206601;Marco Antonio Aguilera Prado;Encuentro latinoamericano de educación ELE 2018;2018;MEDELLÍN;Contextos violentos y competencias ciudadanas Aproximación desde los futuros profesionales colombianos;Producción técnica  Presentación de trabajo  Ponencia;
0001344053;Edgar Alirio Aguirre  Buenaventura;COMMUNICATIONS LATINCOM 2010 IEEE LATIN AMERICAN CONFERENCE ON;2010;BOGOTÁ, DC;Effects of topology and mobility in bioinspired synchronization of mobile ad hoc networks;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344053;Edgar Alirio Aguirre  Buenaventura;SEPTIMA CONFERENCIA IBEROAMERICANA EN SISTEMAS CIBERNETICA E INFORMATICA CISCI 2008;2008;BOGOTÁ, DC;Aprendizaje de Sistemas Multiagentes por medio de Aprendizaje por Refuerzo;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344053;Edgar Alirio Aguirre  Buenaventura;2 ENCUENTRO DE GRUPOSY SEMILLEROS DE INVESTIGACION UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;2009;POPAYÁN;Aprendizaje de sistemas multiagente por medio de aprendizaje por refuerzo;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001344053;Edgar Alirio Aguirre  Buenaventura;Innovation in Education and Inclusion  Proceedings of the 16th LACCEI International MultiConference for Engineering, Education and Technology;2018;Lima;Desarrollo y Simulación de la Evasión y Navegación de Robots Móviles Utilizando Toolboxs de Matlab;Producción técnica  Presentación de trabajo  Ponencia;
0000202355;Lindsay ALVAREZ POMAR;ANUAL IIE CONFERENCE AND EXHIBITION;2002;Orlando;Función de Servicio en la Gestión de la Capacidad de Producción;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000202355;Lindsay ALVAREZ POMAR;CATEDRA FRANCISCO JOS DE CALDAS;1998;BOGOTÁ, DC;;;
0000202355;Lindsay ALVAREZ POMAR;ORIENTACIN PROFESIONAL PARA EL INGRESO A LA EDUCACIN SUPERIOR;1999;BOGOTÁ, DC;;;
0000202355;Lindsay ALVAREZ POMAR;Congreso Internacional de Industria y Organizaciones;2014;BOGOTÁ, DC;Modelo dinámico para analizar políticas relacionadas con el tráfico peatonal en Bogotá;Producción técnica  Presentación de trabajo  Ponencia;
0000202355;Lindsay ALVAREZ POMAR;Informs Annual Meeting;2008;;Restricted Bucket Brigades;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000202355;Lindsay ALVAREZ POMAR;SEMINARIO INTERNACIONAL SEMANA DE INGENIERIA INDUSTRIAL;2003;BOGOTÁ, DC;DISEO DE UN ALGORITMO GENTICO PARA LA SECUENCIACION EN SISTEMAS FLEXIBLES DE MANUFACTURA;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000202355;Lindsay ALVAREZ POMAR;OPTIMA ALIO;2009;BOGOTÁ, DC;Propuesta metodológica para la Enseñanza de la Simulación;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Resumen;
0000202355;Lindsay ALVAREZ POMAR;IX Congreso Latinoamericano IIE;2012;BOGOTÁ, DC;MODELOS DE PROGRAMACIN DE OPERACIONES PARA SOLUCIONAR PROBLEMTICAS DE MOVILIDAD RELACIONADOS CON VEHCULOS DE CARGA EN LAS CIUDADES;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Resumen;
0000202355;Lindsay ALVAREZ POMAR;IE Conference  Expo 2012;2012;CALI;Simulation Study of Priority Passes in a Theme Park in Colombia;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000202355;Lindsay ALVAREZ POMAR;Congreso Latinoamericano de Transporte Público y Urbano;2013;Guayaquil;Prototipo de modelo de inteligencia en el tránsito peatonal;Producción técnica  Presentación de trabajo  Ponencia;
0000202355;Lindsay ALVAREZ POMAR;ORIENTACIN PROFESIONAL;1999;;;;
0000202355;Lindsay ALVAREZ POMAR;LOGSTICA INDUSTRIAL;1998;;;;
0000202355;Lindsay ALVAREZ POMAR;Congreso Internacional de Industria y Organizaciones;2023;BARRANQUILLA;Método para evaluar la calidad del servicio en la operación zonal del sistema integrado de transporte público;Producción técnica  Presentación de trabajo  Ponencia;
0000202355;Lindsay ALVAREZ POMAR;WEA 2023;2023;CARTAGENA DE INDIAS;Simulación de aglomeraciones de domiciliarios usando lógica difusa;Producción técnica  Presentación de trabajo  Ponencia;
0000202355;Lindsay ALVAREZ POMAR;Congreso Internacional de Industria y Organizaciones;2023;BARRANQUILLA;Análisis de la accesibilidad a corredores de Bus de tránsito rápido;Producción técnica  Presentación de trabajo  Ponencia;
0000202355;Lindsay ALVAREZ POMAR;Knowledge Management in Organizations;2018;Zilina;Prototype Design of a Metamodel for Pedestrian System Planning Based on System Dynamics;Producción técnica  Presentación de trabajo  Ponencia;
0000202355;Lindsay ALVAREZ POMAR;Workshop on Engineering Applications;2018;MEDELLÍN;System Dynamics Modelling of Photovoltaic Power Generation Investment Decisions;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000535567;John Petearson Anzola Anzola;Encuentro Internacional de eCiencia y Educacion apoyadas por las redes tecnologicas avanzadas Nuevas posibilidades para el desarrollo academico y cientifico del pais;2008;BOGOTÁ, DC;;;
0000535567;John Petearson Anzola Anzola;XVI CONVENCIN DE INGENIERA ELECTRICA;2015;Cayo Santa María;Análisis de Trafico H264SVC en función del numero de saltos en redes Ad Hoc;Producción técnica  Presentación de trabajo  Conferencia;
0000535567;John Petearson Anzola Anzola;VII Congreso Iberoamericano de Telemática;2015;POPAYÁN;Traffic Analysis AODV and AOMDV for data transmission in SLAM;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000535567;John Petearson Anzola Anzola;TERCER CONGRESO INTERNACIONAL DE MATERIALES, ENERGA Y MEDIO AMBIENTE UNIVERSIDAD AUTONOMA DEL CARIBE;2011;BARRANQUILLA;ANLISIS DE HERRAMIENTAS DE PROCESAMIENTO DIGITAL DE IMGENES PARA LA DETECCIN E IDENTIFICACIN DE ISLAS DE CALOR URBANO;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Resumen;
0000535567;John Petearson Anzola Anzola;Second International Conference on Research in Intelligent and Computing in Engineering RICE17;2017;Uttrakhand;Lecture Analysis of TCP streaming over VANETs;Producción técnica  Presentación de trabajo  Ponencia;
0000535567;John Petearson Anzola Anzola;II Congreso Internacional de Innovación y Tendencias en Ingeniería CONIITI;2016;BOGOTÁ, DC;Lectura de la ponencia PROCESOS DE APRENDIZAJE COLECTIVOS BASADO EN EXPERIENCIAS INTERACTIVAS DE USUARIO ANALISIS DE CASO SOFTWARE DE SIMULACIN EN INGENIERA INDUSTRIAL;Producción técnica  Presentación de trabajo  Ponencia;
0000535567;John Petearson Anzola Anzola;Novena versión del Encuentro de Semilleros de Investigación y Creación;2023;BOGOTÁ, DC;Metodología de sintonización de un controlador PID basado en Ziegler Nichols para robots diferenciales;Producción técnica  Presentación de trabajo  Ponencia;
0000535567;John Petearson Anzola Anzola;20th LACCEI International MultiConference for Engineering, Education and Technology;2022;BOGOTÁ, DC;Estimación de distanciamiento social a través de mapa calor;Producción técnica  Presentación de trabajo  Ponencia;
0000227170;Luis Alejandro Arias Barragan;Curso de Aseguramiento de Calidad y Diseño Curricular en Cursos de Eduscación Superior;1998;BUCARAMANGA;;;
0000227170;Luis Alejandro Arias Barragan;Transmission and Distribution Latin America Conference and Exposition TDLA, 2012 Sixth IEEEPES;2012;Montevideo;UML for the design of the Biodigester automation;Producción técnica  Presentación de trabajo  Ponencia;
0000227170;Luis Alejandro Arias Barragan;9TH CONGRESS LATIN AMERICAN ELCTRICITY GENERATION AND TRANSMISSION;2011;MAR DE PLATA;SIMULACIN DE UN MODULO ELECTRNICO PARA ACONDICIONAMIENTO DE POTENCIA ACTIVA;Producción técnica  Presentación de trabajo  Ponencia;
