COD_RH;                 AUTOR;                 TITULO;                 NUM_PAG;                 FECHA;                 LUGAR;                  EDITORIAL;                 ISBN
1344053;Edgar Alirio Aguirre  Buenaventura;Introducción a la investigación sobre desastres naturales y ciudades inteligentes;;2020;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-244-6
1344053;Edgar Alirio Aguirre  Buenaventura;INTRODUCCIN A GRANJAS INTELIGENTES Y GENERACIN DE ENERGA ELCTRICA PARA HACER FRENTE AL CAMBIO CLIMTICO EN LA REGIN ANDINA;;2021;;Fondo De Publicaciones Universidad Distrital Francisco Jose De Caldas;978-958-49-4953-0
1644874;Luis Felipe Albarracin Sanchez;FUZZY SYSTEMS APPLIED TO WIRELESS TELECOMMUNICATIONS WITH APPLIED EXAMPLES IN SOFTWARE DEFINED RADIO;;2021;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-49-5280-6
202355;Lindsay ALVAREZ POMAR;Diseño de Prototipo Diagnóstico para la PyME;396;2004;Colombia;Universidad Distrital;9598175984
202355;Lindsay ALVAREZ POMAR;INTRODUCCIN A LA SIMULACIN;210;2010;Colombia;Fondo De Publicaciones Universidad Distrital;xxxx
202355;Lindsay ALVAREZ POMAR;Sistema experto para la programación de la producción  investigación y desarrollo de un prototipo;200;2013;Colombia;Fondo De Publicaciones Universidad Distrital Francisco Jose De Caldas;978-958-8782-42-3
202355;Lindsay ALVAREZ POMAR;Introducción a la simulación discreta;;2015;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8832-97-5
227170;Luis Alejandro Arias Barragan;INTEGRACIN DE RECURSOS ENERGTICOS DISTRIBUIDOS EN REDES ELCTRICAS DE DISTRIBUCIN;;2022;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-49-4959-2
227170;Luis Alejandro Arias Barragan;NOTAS DE CLASE PRODUCCIN DE ENERGA;;2013;Colombia;Inea Fundacion Universidad Autonoma De Colombia;1900-1355
675024;LEONARDO EMIRO CONTRERAS BRAVO;Herramientasa de Aprendizaje Automático para determinar el Rendimiento Académico en la educación superior Primera Parte;;2021;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-49-4955-4
675024;LEONARDO EMIRO CONTRERAS BRAVO;Machine Learning Aplicado al Rendimiento Académico en Educación Superior Factores, Variables Y Herramientas;;2023;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;9,78959E+12
675024;LEONARDO EMIRO CONTRERAS BRAVO;Analítica de datos y Rendimiento Académico;;2023;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;9,78959E+12
675024;LEONARDO EMIRO CONTRERAS BRAVO;Integración de las TIC como apoyo al desarrollo de habilidades espaciales;;2016;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8972-58-9
675024;LEONARDO EMIRO CONTRERAS BRAVO;Herramientas CAD CAM CAE para rediseño de productos;;2017;Colombia;Redipe  Red Iberoamericana de Pedagogía;978-1-945570-41-4
675024;LEONARDO EMIRO CONTRERAS BRAVO;Herramientas CADCAMCAE para el rediseño de productos;;2017;Colombia;Redipe  Red Iberoamericana de Pedagogía;9781-945570-41-4
675024;LEONARDO EMIRO CONTRERAS BRAVO;GUIA DE SOLID EDGE PARA INGENIEROS INDUSTRIALES  NIVEL BASICO;261;2009;Colombia;Fondo De Publicaciones Universidad Distrital Francisco Jose De Caldas;978-958-8337-63-0
675024;LEONARDO EMIRO CONTRERAS BRAVO;Procesos de fabricación en metales;;2018;Colombia;ediciones de la u;9,78959E+12
675024;LEONARDO EMIRO CONTRERAS BRAVO;Procesos de fabricación en polímeros cerámicos;;2018;Colombia;ediciones de la u;9,78959E+12
217344;Elvis Eduardo Gaona Garcia;Reproductive Restraints Birth Control In India, 18771947;88;2013;España;editorial académica española;978-3-659-07733-3
217344;Elvis Eduardo Gaona Garcia;Diseño y construcción del módulo de control central del CubeSat UD e implementación de AX25;;2015;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8897-55-4 
217344;Elvis Eduardo Gaona Garcia;Observational Calculi And Association Rules;172;2013;España;editorial académica española;978-3-659-07727-2
217344;Elvis Eduardo Gaona Garcia;GESTIN Y CIBERSEGURIDAD PARA MICRORREDES ELCTRICAS RESIDENCIALES;;2020;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-228-6
217344;Elvis Eduardo Gaona Garcia;3c Vision Cues, Contexts, And Channels;176;2013;España;editorial académica española;978-3-659-07592-6
217344;Elvis Eduardo Gaona Garcia;Control de Microrredes Eléctricas Inteligentes;;2017;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;9,78959E+12
217344;Elvis Eduardo Gaona Garcia;Televisión Digital Terrestre Planeación y análisis de cobertura;;2023;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-509-6
217344;Elvis Eduardo Gaona Garcia;Medidor De Interferencias Para Las Bandas Vhf Y Uhf;153;2012;España;editorial académica española;978-3-659-05235-4
630080;Ricardo Alirio Gonzalez Bustamante;INTRODUCCIN A LA INVESTIGACIN SOBRE DESASTRES NATURALES Y CIUDADESINTELIGENTES;;2021;Colombia;Universidad Francisco Jose De Caldas;978-958-787-244-6
1164023;Jhon Francined Herrera Cubides;Aplicación Inmersiva para el Consumo de Recursos Digitales basada en Navegación por Ontologías como Estrategia de interacción;;2020;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-249-1
1164023;Jhon Francined Herrera Cubides;Enriquecimiento de Recursos Educativos Un enfoque aplicado a la Web Semántica y Datos Abiertos;;2022;Colombia;Fondo De Publicaciones Universidad Dsitrital Francisco Jose De Caldas;978-958-49-5278-3
1429722;Andres Camilo Jimenez Alvarez;Introducción al Enrutamiento IPv6 sobre vyatta;;2014;Colombia;Autores Editores SAS;978-958-46-5709-1
