COD_RH;                 AUTOR;                 NOMBRE_SOFT;                 NOMBRE_COMERCIAL;                FECHA;                LUGAR;                PLATAFORMA;                 AMBIENTE;                 REGISTRO 
0001344053;Edgar Alirio Aguirre  Buenaventura;SISTEMA DE INFORMACIÓN ICARO;SISTEMA DE INFORMACIÓN ICARO;2011;Colombia;Java;;1328365;
0000202355;Lindsay ALVAREZ POMAR;COVID19 SIMULATOR;;2020;Colombia;;;;
0000202355;Lindsay ALVAREZ POMAR;CIAO Collective Intelligence Algorithm for Optimisation;CIAO;2024;Colombia;;;;
0000535567;John Petearson Anzola Anzola;IMPLEMENTACIÓN DE AUTÓMATA CELULAR RECONFIGURABLE SOBRE FPGA;IMPLEMENTACIÓN DE AUTÓMATA CELULAR RECONFIGURABLE SOBRE FPGA;2012;Colombia;Na;Na;1335327;
0000535567;John Petearson Anzola Anzola;SOFTWARE DE TRACKING DE LNEA NEGRA IMPLEMENTADO EN UN DRONE;SOFTWARE DE TRACKING DE LNEA NEGRA IMPLEMENTADO EN UN DRONE;2015;Colombia;NA;NA;1348298;
0000535567;John Petearson Anzola Anzola;PROGRAMADOR DE UNA CELL MATRIX DE 3X3 CON UN NUEVO MODELO DE CLULA;PROGRAMADOR DE UNA CELL MATRIX DE 3X3 CON UN NUEVO MODELO DE CLULA;2012;Colombia;NA;NA;1335321;
0000535567;John Petearson Anzola Anzola;DISEO DE UNA MQUINA GENTICA PARA EVOLUCIONAR LOS AUTÓMATAS SOBRE UNA PLATAFORMBASADA EN PC;DISEO DE UNA MQUINA GENTICA PARA EVOLUCIONAR LOS AUTÓMATAS SOBRE UNA PLATAFORMBASADA EN PC;2012;Colombia;NA;NA;1335328;
0000535567;John Petearson Anzola Anzola;CONTROLADOR Y PROGRAMADOR DE UNA CELL MATRIX 3X3;CONTROLADOR Y PROGRAMADOR DE UNA CELL MATRIX 3X3;2013;Colombia;NA;NA;133618;
0000535567;John Petearson Anzola Anzola;DISEO EN LENGUAJES DE DESCRIPCIÓN DE HARDWARE PARA LA INTERCONEXIÓN AUTOMATICA DE UNA CELL MATRIX DE NXM DIMENSIONES;DISEO EN LENGUAJES DE DESCRIPCIÓN DE HARDWARE PARA LA INTERCONEXIÓN AUTOMATICA DE UNA CELL MATRIX DE NXM DIMENSIONES;2013;Colombia;;;133617;
0000535567;John Petearson Anzola Anzola;IMPLEMENTACIÓN EN VHDL DE UN MULTIPLICADOR UNIVERSAL DE CAMPO FINITO GF2N;IMPLEMENTACIÓN EN VHDL DE UN MULTIPLICADOR UNIVERSAL DE CAMPO FINITO GF2N;2014;Colombia;NA;NA;1342400;
