,                 GRUPO,count,Q1,Q2,Q3,Q4,A1,A2,B,C,Nacional,Internacional
0,Grupo de Compatibilidad e Interferencia Electromagnética GCEM,211,32,52,4,14,0,2,3,23,28,102
1,GIIRA,199,42,45,19,27,0,3,6,18,27,133
2,ARMOS - Arquitecturas Modernas para Sistemas de Alimentación,190,0,1,24,18,0,3,0,2,5,43
3,Comercio Electronico en Colombia - GICOECOL,178,39,12,22,33,0,2,5,24,31,106
4,Internet Inteligente,155,2,5,35,5,0,3,2,1,6,47
5,NIDE - Nucleo de Investigación en Datos Espaciales,101,6,8,6,34,0,1,6,10,17,54
6,"Laboratorio de Automatización, Sistemas Embebidos y Robótica - LASER",101,0,0,0,15,0,0,0,16,16,15
7,"Grupo de Investigación Internacional en Informática, Comunicación y Gestión del Conocimiento",98,14,14,5,21,0,1,1,1,3,54
8,SIREC - Sistemas y Redes Cognitivas,91,3,9,18,1,0,5,2,2,9,31
9,Laboratorio de Investigación y desarrollo en Electrónica y Redes (LIDER),90,4,1,3,15,0,2,2,19,23,23
10,INTEROPERABILIDAD TECNOLOGICA Y SEMANTICA,89,9,24,18,5,0,2,3,12,17,56
11,"GEFEM - Grupo de Estudio en temas de la Física, de la Estadística y la Matemática",84,3,7,16,16,0,1,2,4,7,42
12,MULTIMEDIA INTERACTIVA Y ANIMACIÓN DIGITAL,81,10,17,9,13,0,1,1,17,19,49
13,AQUAFORMAT,80,6,5,0,5,0,4,4,11,19,16
14,GITEM++,75,0,0,0,1,0,0,2,5,7,1
15,Grupo de Investigación en Ingeniería Civil Universidad Distrital -GIICUD-,70,26,18,2,7,0,6,0,12,18,53
16,Laboratorio de Investigación en Fuentes Alternativas de Energía (LIFAE),66,18,3,6,11,0,1,4,14,19,38
17,"DISEÑO, MODELAMIENTO Y SIMULACION",55,0,0,10,5,0,0,3,11,14,15
18,GRUPO ADQUISICIÓN Y REPRESENTACIÓN DEL CONOCIMIENTO - SISTEMAS EXPERTOS Y SIMULACIÓN (ARCO SES),50,4,1,10,16,0,1,0,9,10,31
19,GIDENUTAS,41,2,7,7,4,0,0,1,10,11,20
20,Grupo de Investigación en Sistemas Eléctricos y Eficiencia Energética (GISE3),35,8,8,2,3,0,2,3,3,8,21
21,"LABORATORIO DE AUTOMATICA, E INTELIGENCIA COMPUTACIONAL ( LAMIC)",31,8,3,2,7,0,0,1,6,7,20
22,"Grupo de Investigación en Cadenas de Abastecimiento, Logística y Trazabilidad . GICALyT",30,2,4,5,5,0,3,2,8,13,16
23,Ingeniería y nanotecnología para la vida (INVID),30,1,1,1,1,0,1,1,12,14,4
24,Grupo de Radiación Electromagnética y Comunicaciones Ópticas - GRECO (LIMER),29,0,8,1,5,0,2,6,2,10,14
25,GESETIC,26,3,7,3,7,0,0,0,4,4,20
26,ITI: Innovación en Tecnologías de Información,25,11,1,6,0,0,0,0,1,1,18
27,Grupo de investigación en Ingeniería de Diseño (Dising),20,3,3,0,2,0,0,0,10,10,8
28,IDEAS,18,3,3,1,2,0,0,0,2,2,9
29,GITUD,17,2,0,1,3,0,0,0,4,4,6
30,Grupo de investigación en control electrónico,5,0,1,1,1,0,1,0,2,3,3
31,"GESTIÓN, EMPRENDIMIENTO, INNOVACIÓN Y TECNOLOGÍA, GEIT",5,2,0,1,0,1,0,0,1,2,3
