                 GRUPO,count
MULTIMEDIA INTERACTIVA Y ANIMACIÓN DIGITAL,29
ITI: Innovación en Tecnologías de Información,28
Grupo de investigación en Ingeniería de Diseño (Dising),16
GIIRA,14
GRUPO ADQUISICIÓN Y REPRESENTACIÓN DEL CONOCIMIENTO - SISTEMAS EXPERTOS Y SIMULACIÓN (ARCO SES),13
"GEFEM - Grupo de Estudio en temas de la Física, de la Estadística y la Matemática",9
Laboratorio de Investigación y desarrollo en Electrónica y Redes (LIDER),9
NIDE - Nucleo de Investigación en Datos Espaciales,8
"LABORATORIO DE AUTOMATICA, E INTELIGENCIA COMPUTACIONAL ( LAMIC)",8
INTEROPERABILIDAD TECNOLOGICA Y SEMANTICA,5
"Grupo de Investigación Internacional en Informática, Comunicación y Gestión del Conocimiento",4
Grupo de Investigación en Ingeniería Civil Universidad Distrital -GIICUD-,3
Grupo de Compatibilidad e Interferencia Electromagnética GCEM,3
"GESTIÓN, EMPRENDIMIENTO, INNOVACIÓN Y TECNOLOGÍA, GEIT",2
Grupo de investigación en control electrónico,1
IDEAS,1
Comercio Electronico en Colombia - GICOECOL,1
Internet Inteligente,1
GITEM++,1
GIDENUTAS,1
AQUAFORMAT,1
