                 GRUPO,count
GIDENUTAS,2
AQUAFORMAT,1
Grupo de Radiación Electromagnética y Comunicaciones Ópticas - GRECO (LIMER),1
NIDE - Nucleo de Investigación en Datos Espaciales,1
MULTIMEDIA INTERACTIVA Y ANIMACIÓN DIGITAL,1
Laboratorio de Investigación y desarrollo en Electrónica y Redes (LIDER),1
Laboratorio de Investigación en Fuentes Alternativas de Energía (LIFAE),1
"Laboratorio de Automatización, Sistemas Embebidos y Robótica - LASER",1
"LABORATORIO DE AUTOMATICA, E INTELIGENCIA COMPUTACIONAL ( LAMIC)",1
Internet Inteligente,1
Ingeniería y nanotecnología para la vida (INVID),1
ITI: Innovación en Tecnologías de Información,1
INTEROPERABILIDAD TECNOLOGICA Y SEMANTICA,1
IDEAS,1
Grupo de investigación en control electrónico,1
Grupo de investigación en Ingeniería de Diseño (Dising),1
Grupo de Investigación en Sistemas Eléctricos y Eficiencia Energética (GISE3),1
ARMOS - Arquitecturas Modernas para Sistemas de Alimentación,1
Grupo de Investigación en Ingeniería Civil Universidad Distrital -GIICUD-,1
"Grupo de Investigación en Cadenas de Abastecimiento, Logística y Trazabilidad . GICALyT",1
"Grupo de Investigación Internacional en Informática, Comunicación y Gestión del Conocimiento",1
Grupo de Compatibilidad e Interferencia Electromagnética GCEM,1
GRUPO ADQUISICIÓN Y REPRESENTACIÓN DEL CONOCIMIENTO - SISTEMAS EXPERTOS Y SIMULACIÓN (ARCO SES),1
GITUD,1
GITEM++,1
GIIRA,1
"GESTIÓN, EMPRENDIMIENTO, INNOVACIÓN Y TECNOLOGÍA, GEIT",1
GESETIC,1
"GEFEM - Grupo de Estudio en temas de la Física, de la Estadística y la Matemática",1
"DISEÑO, MODELAMIENTO Y SIMULACION",1
Comercio Electronico en Colombia - GICOECOL,1
SIREC - Sistemas y Redes Cognitivas,1
