                 GRUPO,count
SIREC - Sistemas y Redes Cognitivas,9
"Grupo de Investigación Internacional en Informática, Comunicación y Gestión del Conocimiento",9
Grupo de Compatibilidad e Interferencia Electromagnética GCEM,9
GIIRA,8
MULTIMEDIA INTERACTIVA Y ANIMACIÓN DIGITAL,7
Laboratorio de Investigación en Fuentes Alternativas de Energía (LIFAE),7
Grupo de Investigación en Ingeniería Civil Universidad Distrital -GIICUD-,7
Comercio Electronico en Colombia - GICOECOL,7
GITEM++,6
"DISEÑO, MODELAMIENTO Y SIMULACION",6
Grupo de Investigación en Sistemas Eléctricos y Eficiencia Energética (GISE3),6
AQUAFORMAT,5
Laboratorio de Investigación y desarrollo en Electrónica y Redes (LIDER),5
"Laboratorio de Automatización, Sistemas Embebidos y Robótica - LASER",5
ARMOS - Arquitecturas Modernas para Sistemas de Alimentación,4
Ingeniería y nanotecnología para la vida (INVID),3
"GEFEM - Grupo de Estudio en temas de la Física, de la Estadística y la Matemática",3
Grupo de Radiación Electromagnética y Comunicaciones Ópticas - GRECO (LIMER),3
"GESTIÓN, EMPRENDIMIENTO, INNOVACIÓN Y TECNOLOGÍA, GEIT",3
NIDE - Nucleo de Investigación en Datos Espaciales,2
Internet Inteligente,2
GIDENUTAS,2
INTEROPERABILIDAD TECNOLOGICA Y SEMANTICA,2
IDEAS,2
GRUPO ADQUISICIÓN Y REPRESENTACIÓN DEL CONOCIMIENTO - SISTEMAS EXPERTOS Y SIMULACIÓN (ARCO SES),2
GITUD,2
"LABORATORIO DE AUTOMATICA, E INTELIGENCIA COMPUTACIONAL ( LAMIC)",1
"Grupo de Investigación en Cadenas de Abastecimiento, Logística y Trazabilidad . GICALyT",1
GESETIC,1
Grupo de investigación en Ingeniería de Diseño (Dising),1
