                 GRUPO,count
ITI: Innovación en Tecnologías de Información,32
Grupo de Investigación en Ingeniería Civil Universidad Distrital -GIICUD-,19
MULTIMEDIA INTERACTIVA Y ANIMACIÓN DIGITAL,15
Grupo de Compatibilidad e Interferencia Electromagnética GCEM,15
"Grupo de Investigación Internacional en Informática, Comunicación y Gestión del Conocimiento",15
GIIRA,14
SIREC - Sistemas y Redes Cognitivas,13
Internet Inteligente,10
INTEROPERABILIDAD TECNOLOGICA Y SEMANTICA,9
AQUAFORMAT,7
"GEFEM - Grupo de Estudio en temas de la Física, de la Estadística y la Matemática",7
"Laboratorio de Automatización, Sistemas Embebidos y Robótica - LASER",5
Grupo de Investigación en Sistemas Eléctricos y Eficiencia Energética (GISE3),5
GITUD,3
"LABORATORIO DE AUTOMATICA, E INTELIGENCIA COMPUTACIONAL ( LAMIC)",3
"DISEÑO, MODELAMIENTO Y SIMULACION",2
GRUPO ADQUISICIÓN Y REPRESENTACIÓN DEL CONOCIMIENTO - SISTEMAS EXPERTOS Y SIMULACIÓN (ARCO SES),2
GIDENUTAS,2
Grupo de investigación en Ingeniería de Diseño (Dising),1
Laboratorio de Investigación en Fuentes Alternativas de Energía (LIFAE),1
NIDE - Nucleo de Investigación en Datos Espaciales,1
