,COD_RH,                 GRUPO,                TITULO,                PAIS,                ISSN,                AÑO,                AUTORES,Unnamed: 7,Cuartil,Publindex
0,1394,GIIRA, Holistic cognitive conflict chain management framework in supply chain management,,01959255,2021, CARLOS ENRIQUE MONTENEGRO MARIN,,Q1,No Clasificado
1,1394,GIIRA, Or-Based Intelligent Decision Support System for E-Commerce,,07181876,2021, CARLOS ENRIQUE MONTENEGRO MARIN,,Q1,No Clasificado
2,1394,GIIRA, Internet of things forensic data analysis using machine learning to identify roots of data scavenging,,0167739X,2021, CARLOS ENRIQUE MONTENEGRO MARIN,,Q1,No Clasificado
3,1394,GIIRA, Recognize and regulate the importance of work-place emotions based on organizational adaptive emotion control,,18736335,2021, CARLOS ENRIQUE MONTENEGRO MARIN,,No Clasificado,No Clasificado
4,1394,GIIRA," Environmental planning based on reduce, reuse, recycle and recover using artificial intelligence",,01959255,2021, CARLOS ENRIQUE MONTENEGRO MARIN,,Q1,No Clasificado
5,1394,GIIRA, Analysis of the influence of politics on work emotion in workplace,,18736335,2021, CARLOS ENRIQUE MONTENEGRO MARIN,,No Clasificado,No Clasificado
6,1394,GIIRA, Approach to the concept of religious freedom. Case study: Colombia (South America),Venezuela,07981015,2020," JUAN PABLO RODRIGUEZ MIRANDA, JUAN MANUEL SANCHEZ CESPEDES",,No Clasificado,No Clasificado
7,1394,GIIRA, Quantitative analysis of intrafamily religious violence in the Bogotá city (Colombia),Venezuela,07981015,2020," JUAN PABLO RODRIGUEZ MIRANDA, JUAN MANUEL SANCHEZ CESPEDES",,No Clasificado,No Clasificado
8,1394,GIIRA, JGraphs: A Toolset to Work with Monte-Carlo Tree Search-Based Algorithms,Singapur,02184885,2020, RUBEN ARISTIDES GONZALEZ CRESPO,,Q3,No Clasificado
9,1394,GIIRA, Problematic Of The Decision-Making Process In The Formulation Of Public Agricultural Policies In Colombia: Review Article,India,22496890,2020," CESAR AUGUSTO GARCIA UBAQUE, JUAN MANUEL SANCHEZ CESPEDES",,No Clasificado,No Clasificado
10,1394,GIIRA," Design, Analysis, and Implementation of an Equalizer Circuit for the Elimination of Voltage Imbalance in a Half-Bridge Boost Converter with Power Factor Correction",,20799292,2020, NANCY YANETH GELVEZ GARCIA,,Q2,No Clasificado
11,1394,GIIRA, Review of Artificial Intelligence Applied in Decision-Making Processes in Agricultural Public Policy,,22279717,2020," JUAN MANUEL SANCHEZ CESPEDES, JUAN PABLO RODRIGUEZ MIRANDA, HELBERT EDUARDO ESPITIA CUCHANGO",,Q2,No Clasificado
12,1394,GIIRA," Análisis bibliométrico de la producción científica sobre la aplicación de las ciencias de datos para la toma de decisiones en análisis de riesgos, 2015-2020",,07981015,2020, JUAN MANUEL SANCHEZ CESPEDES,,No Clasificado,No Clasificado
13,1394,GIIRA, Towards an agriculture solution for product supply chain using blockchain: case study Agrochain with BigchainDB,,16511913,2020, CARLOS ENRIQUE MONTENEGRO MARIN,,Q2,No Clasificado
14,1394,GIIRA, Towards an agriculture solution for product supply chain using blockchain: case study Agrochain with BigchainDB,,16511913,2020, CARLOS ENRIQUE MONTENEGRO MARIN,,Q2,No Clasificado
15,1394,GIIRA, Modelo basado en Reconocimiento De Objetos Tangibles para facilitar Recorridos de Interés en Jardines Botánicos,,16469895,2020, CARLOS ENRIQUE MONTENEGRO MARIN,,Q4,No Clasificado
16,1394,GIIRA, Evaluación del turismo deportivo en la ciudad de Cartagena-Colombia desde la gestión ambiental y las tecnologías de la información y la comunicación.,,16469895,2020, CARLOS ENRIQUE MONTENEGRO MARIN,,Q4,No Clasificado
17,1394,GIIRA, DRONES AND AR IN THE REAL ESTATE MARKET,,22496890,2020, CARLOS ENRIQUE MONTENEGRO MARIN,,No Clasificado,No Clasificado
18,1394,GIIRA," Cultura del empaque en el turismo, aprovechamiento de la vaina de arveja (pisum sativum l) para la fabricación de bandejas biodegradables",,16469895,2020, CARLOS ENRIQUE MONTENEGRO MARIN,,Q4,No Clasificado
19,1394,GIIRA, Modelo de vinculación de datos turísticos aplicado a museos mediante Linked Open Data (LOD),,16469895,2020, CARLOS ENRIQUE MONTENEGRO MARIN,,Q4,No Clasificado
20,1394,GIIRA, MULTITEMPORAL ANALYSIS OF TOTAL COLIFORMS AND ESCHERICHIA COLI IN THE UPPER BASIN OF THE BOGOTÁ RIVER,,00040843,2020, CARLOS ENRIQUE MONTENEGRO MARIN,,Q3,No Clasificado
