COD_RH;                 GRUPO;                TITULO;                PAIS;                ISSN;                AÑO;                AUTORES;
1394;GIIRA;;cados;culos pub;;;
Artí;los publicado;;;;;;
1394;GIIRA; Holistic cognitive conflict chain management framework in supply chain management;;0195-9255;2021; CARLOS ENRIQUE MONTENEGRO MARIN;
1394;GIIRA; Or-Based Intelligent Decision Support System for E-Commerce;;0718-1876;2021; CARLOS ENRIQUE MONTENEGRO MARIN;
1394;GIIRA; Internet of things forensic data analysis using machine learning to identify roots of data scavenging;;0167-739X;2021; CARLOS ENRIQUE MONTENEGRO MARIN;
1394;GIIRA; Recognize and regulate the importance of work-place emotions based on organizational adaptive emotion control;;1873-6335;2021; CARLOS ENRIQUE MONTENEGRO MARIN;
1394;GIIRA; Environmental planning based on reduce, reuse, recycle and recover using artificial intelligence;;0195-9255;2021; CARLOS ENRIQUE MONTENEGRO MARIN;
1394;GIIRA; Analysis of the influence of politics on work emotion in workplace;;1873-6335;2021; CARLOS ENRIQUE MONTENEGRO MARIN;
1394;GIIRA; Approach to the concept of religious freedom. Case study: Colombia (South America);Venezuela;0798-1015;2020; JUAN PABLO RODRIGUEZ MIRANDA, JUAN MANUEL SANCHEZ CESPEDES;
1394;GIIRA; Quantitative analysis of intrafamily religious violence in the Bogotá city (Colombia);Venezuela;0798-1015;2020; JUAN PABLO RODRIGUEZ MIRANDA, JUAN MANUEL SANCHEZ CESPEDES;
1394;GIIRA; JGraphs: A Toolset to Work with Monte-Carlo Tree Search-Based Algorithms;Singapur;0218-4885;2020; RUBEN ARISTIDES GONZALEZ CRESPO;
1394;GIIRA; Problematic Of The Decision-Making Process In The Formulation Of Public Agricultural Policies In Colombia: Review Article;India;2249-6890;2020; CESAR AUGUSTO GARCIA UBAQUE, JUAN MANUEL SANCHEZ CESPEDES;
1394;GIIRA; Design, Analysis, and Implementation of an Equalizer Circuit for the Elimination of Voltage Imbalance in a Half-Bridge Boost Converter with Power Factor Correction;;2079-9292;2020; NANCY YANETH GELVEZ GARCIA;
