;Unnamed: 0.1;Unnamed: 0;COD_RH;                 GRUPO;                TITULO CAPITULO;                PAIS;                ISBN;                AÑO;                AUTORES;Unnamed: 7
0;0;0;1394;GIIRA; Ontological Model to Represent Interactive Simulation Objects;Singapur;978-981-15-4526-9;2020; CARLOS ENRIQUE MONTENEGRO MARIN, JHON FRANCINED HERRERA CUBIDES, PAULO ALONSO GAONA GARCIA, JONATHAN ENRIQUE CUSPOCA RUIZ;
1;1;1;1394;GIIRA; Trends in management of TI projects and CEO´s competences.;Reino Unido;9,7818E+12;2020; RUBEN ARISTIDES GONZALEZ CRESPO;
2;2;2;1394;GIIRA; Ontological Model to Represent Interactive Simulation Objects;Colombia;978-981-15-4525-2;2020; CARLOS ENRIQUE MONTENEGRO MARIN;
3;3;3;1394;GIIRA; IOT Quality of Service Based in Link Channel Optimization in Wireless Sensor Networks;China;978-1-5386-8543-3;2018; CARLOS ENRIQUE MONTENEGRO MARIN;
4;4;4;1394;GIIRA; IOT Quality of Service Based in Link Channel Optimization in Wireless Sensor Networks;China;978-1-5386-8543-3;2018; CARLOS ENRIQUE MONTENEGRO MARIN;
5;5;5;1394;GIIRA; Fuzzy logic-based model for the prevention of structural fires on urban buildings using mobile devices and IoTtechnologies;China;978-1-5386-8543-3;2018; CARLOS ENRIQUE MONTENEGRO MARIN;
6;6;6;1394;GIIRA; IOT System for Self-diagnosis of Heart Diseases Using Mathematical Evaluation of Cardiac Dynamics Based on Probability Theory;Colombia;978-1-5090-1226-8;2018; CARLOS ENRIQUE MONTENEGRO MARIN;
7;7;7;1394;GIIRA; Proposal of a computational intelligence prediction model based on internet of things technologies;Colombia;978-1-5386-8543-3;2018; CARLOS ENRIQUE MONTENEGRO MARIN;
8;8;8;1394;GIIRA; Fuzzy logic-Based Model for the prevention of structural fires on urban building using mobile devices and IoT technologies.;Colombia;978-1-5386-8543-3;2018; CARLOS ENRIQUE MONTENEGRO MARIN;
9;9;9;1394;GIIRA; Desing Computational model for organizational learning in research and development centers (R&D);Colombia;978-3-030-03927-1;2018; CARLOS ENRIQUE MONTENEGRO MARIN;
10;10;10;1394;GIIRA; IOT quality of service based in link channel optimization in wireless sensors network;Colombia;978-1-5386-8543-3;2018; CARLOS ENRIQUE MONTENEGRO MARIN;
11;11;11;1394;GIIRA; VACIT: Tool for Consumption, Analysis and Machine Learning for LOD Resources on CKAN Instances Tipo de producto;Colombia;978-1-5090-1226-8;2018; CARLOS ENRIQUE MONTENEGRO MARIN;
12;12;12;1394;GIIRA; A proposal to a decision support system with learning analytics;España;978-1-5386-2957-4;2017; CARLOS ENRIQUE MONTENEGRO MARIN;
13;13;13;1394;GIIRA; Strategic Reuse of Software Designs using Stable Logical Infrastructures;Estados Unidos;1-60876-972-0;2017; RUBEN ARISTIDES GONZALEZ CRESPO;
14;14;14;1394;GIIRA; Knowledge Management Model for Project Management: KM+PMTIC;Estados Unidos;9,78154E+12;2016; RUBEN ARISTIDES GONZALEZ CRESPO;
15;15;15;1394;GIIRA; User Experiences in Virtual Reality Environments Navigation Based on Simple Knowledge Organization Systems;Singapur;9,78303E+12;2016; CARLOS ENRIQUE MONTENEGRO MARIN, PAULO ALONSO GAONA GARCIA;
16;16;16;1394;GIIRA; Metric LMS: Educational evaluation platforms;Colombia;978-1-5090-1226-8;2016; CARLOS ENRIQUE MONTENEGRO MARIN;
17;17;17;1394;GIIRA; enerGyPU and enerGyPhi Monitor for Power Consumption and Performance Evaluation on Nvidia Tesla GPU and Intel Xeon Phi;Colombia;978-1-5090-2453-7;2016; CARLOS ENRIQUE MONTENEGRO MARIN;
18;18;18;1394;GIIRA; A module development to manage bibliography in moodle;Estados Unidos;978-1-4799-4428-6;2014; CARLOS ENRIQUE MONTENEGRO MARIN;
19;19;19;1394;GIIRA; Applying visualization techniques to develop interfaces for educational repositories: the case of Organic.Lingua and VOA3R;Alemania;978-3-8325-340;2013; PAULO ALONSO GAONA GARCIA;
20;20;20;1394;GIIRA; Metamodels Construction Based on the Definition of Domain Ontologies;Estados Unidos;9,78147E+12;2012; CARLOS ENRIQUE MONTENEGRO MARIN;
21;21;21;1394;GIIRA; Análisis de cobertura del tesauro AAT en la biblioteca digital Europeana: ideas preliminares para su empleo en la educación;España;978-607-95446-2-1;2012; PAULO ALONSO GAONA GARCIA;
22;22;22;1394;GIIRA; Workflow for the definition of a semantic model and for the identification of trust levels about learning objects on LCMS platforms;España;978-607-95446-0-7;2010; PAULO ALONSO GAONA GARCIA;
23;23;23;3869;Grupo de Investigación en Ingeniería Civil Universidad Distrital -GIICUD-; Cosificación en el Siglo XXI;Colombia;9,78959E+12;2019; JUAN CARLOS GARCIA UBAQUE, ANDREA CAROLINA BAUTISTA BARRERA, PAULA FERNANDA GARCIA BENITEZ;
24;24;24;3869;Grupo de Investigación en Ingeniería Civil Universidad Distrital -GIICUD-; Estrategias de Anticosificación;Colombia;9,78959E+12;2019; JUAN CARLOS GARCIA UBAQUE, ALDEMAR BAUTISTA OTERO, FRED MANRIQUE ABRIL;
25;25;25;3869;Grupo de Investigación en Ingeniería Civil Universidad Distrital -GIICUD-; Entre el Romanticismo Religioso y el Apocalipsis Filosófico;Colombia;9,78959E+12;2019; JUAN CARLOS GARCIA UBAQUE, ALDEMAR BAUTISTA OTERO, FRED MANRIQUE ABRIL;
26;26;26;983;Grupo de Investigación Internacional en Informática, Comunicación y Gestión del Conocimiento; Propuesta metodológica para la caracterización de los egresados de los programas de ingeniería industrial en el sector productivo. Caso de estudio: capítulo Redin Bogotá;Colombia;9,78959E+12;2020; CLAUDIA CONSTANZA JIMENEZ CARRANZA, MIGUEL ANGEL OSPINA USAQUEN, ALEXANDER REYES MORENO, PEDRO SANCHEZ CAIMAN, GUSTAVO ADOLFO NEIRA GONZALEZ, BEATRIZ LORENA RODRIGUEZ MONTENEGRO;
27;27;27;983;Grupo de Investigación Internacional en Informática, Comunicación y Gestión del Conocimiento; LA FORMACIÓN DE PROFESORES INCLUSIVOS: EL CASO DE LA UNIVERSIDAD DISTRITAL FRANCISCO JOSÉ DE CALDAS EN BOGOTÁ D.C. - COLOMBIA;España;978-84-1324-591-1;2020; ALEXIS ADAMY ORTIZ MORALES;
28;28;28;983;Grupo de Investigación Internacional en Informática, Comunicación y Gestión del Conocimiento; La formación de profesores inclusivos: el caso de la Universidad Distrital Francisco José de Caldas en Bogotá D.C. ¿ Colombia.;España;978-84-1324-591-1;2020; ALEXIS ADAMY ORTIZ MORALES;
29;29;29;983;Grupo de Investigación Internacional en Informática, Comunicación y Gestión del Conocimiento; An Agent-Based Model to Identify Migration Pathways of Refugees: The Case of Syria;Canadá;978-3-319-65993-0;2017; MAGDA LILIANA PEREZ CASTRO;
