;Unnamed: 0.1;Unnamed: 0;COD_RH;                 GRUPO;                TITULO;                PAIS;                ISBN;                AÑO;                AUTORES
0;0;0;1394;GIIRA;Aplicación Inmersiva para el Consumo de Recursos Digitales basada en Navegación por Ontologías como Estrategia de interacción;Colombia;978-958-787-249-1;2020; JHON FRANCINED HERRERA CUBIDES, CARLOS ENRIQUE MONTENEGRO MARIN, PAULO ALONSO GAONA GARCIA
1;1;1;1394;GIIRA;Aplicación inmersiva para el consumo de recursos digitales basada en navegación por ontologías como estrategia de interacción;;978-958-787-249-1;2020; PAULO ALONSO GAONA GARCIA, CARLOS ENRIQUE MONTENEGRO MARIN
2;2;2;1394;GIIRA;Modelo de comunicación basado en IoT para la transmisión de datos de estaciones meteorológicas;;978-958-787-256-9;2020; CARLOS ENRIQUE MONTENEGRO MARIN
3;3;3;1394;GIIRA;Aplicación inversiva para el consumo de recursos digitales basada en navegación por ontología como estrategia de interacción;Colombia;978-958-787-249-1;2020; PAULO ALONSO GAONA GARCIA, CARLOS ENRIQUE MONTENEGRO MARIN
4;4;4;1394;GIIRA;Modelo de comunicaciones basado en IoT pra la transmisión de datos de estaciones mmeterológicas;Colombia;978-958-787-256-9;2020; CARLOS ENRIQUE MONTENEGRO MARIN
5;5;5;1394;GIIRA;"INDICADORES TIC ""Principales Indicadores y Modelos de Medición de Políticas Públicas en el sector de las Tecnologías de la Información y Comunicaciones - TIC";Colombia;978-958-787-075-6;2019; JUAN MANUEL SANCHEZ CESPEDES, OCTAVIO SALCEDO PARRA, EDWIN RIVAS TRUJILLO
6;6;6;1394;GIIRA;Entornos de búsquedas navegacionales a partir de esquemas de representación de conocimiento;Colombia;9,78959E+12;2018; PAULO ALONSO GAONA GARCIA, CARLOS ENRIQUE MONTENEGRO MARIN
7;7;7;1394;GIIRA;Mecanismos de exploración de recursos sobre Linked Open Data mediante principios de seguridad;;978-958-5434-39-4;2017; CARLOS ENRIQUE MONTENEGRO MARIN
8;8;8;1394;GIIRA;Integration of formal and informal contexts, for a better learning and a better teaching;España;978-84-16602-41-4;2016; RUBEN ARISTIDES GONZALEZ CRESPO
9;9;9;1394;GIIRA;UNESCO-UNIR ICT & Education Latam Congress 2016  proceedings;España;978-84-16602-41-4;2016; RUBEN ARISTIDES GONZALEZ CRESPO
10;10;10;1394;GIIRA;Aproximación y Propuesta de una Metodología para la Adaptación de Aplicaciones Web en Aplicaciones Web Accesibles;España;78-84-16602-24-7 9;2016; RUBEN ARISTIDES GONZALEZ CRESPO
11;11;11;1394;GIIRA;Aproximación y Propuesta de una Metodología para la Adaptación de Aplicaciones Web en Aplicaciones Web Accesibles;España;978-84-16602-24-7;2016; RUBEN ARISTIDES GONZALEZ CRESPO
12;12;12;3869;Grupo de Investigación en Ingeniería Civil Universidad Distrital -GIICUD-;PROPUESTA DE DIAGNÓSTICO DE HABITABILIDAD EN ASENTAMIENTOS HUMANOS A NIVEL URBANO;Colombia; 978-958-5133-36-5;2020; CAMILO ALBERTO TORRES PARRA, CESAR AUGUSTO GARCIA UBAQUE
13;13;13;3869;Grupo de Investigación en Ingeniería Civil Universidad Distrital -GIICUD-;Ingeniería Ambiental: Análisis Aplicado a la Calidad del Agua;Colombia;978-958-787-073-2;2019; JUAN PABLO RODRIGUEZ MIRANDA, CESAR AUGUSTO GARCIA UBAQUE
14;14;14;3869;Grupo de Investigación en Ingeniería Civil Universidad Distrital -GIICUD-;Ingeniería Ambiental: Análisis Aplicado a la Tratabilidad del Agua.;Colombia;978-958-787-071-8;2019; JUAN PABLO RODRIGUEZ MIRANDA, CESAR AUGUSTO GARCIA UBAQUE
15;15;15;3869;Grupo de Investigación en Ingeniería Civil Universidad Distrital -GIICUD-;HABITABILIDAD DE LA VIVIENDA: UNA PERSPECTIVA DE SALUD;Colombia;9,78959E+12;2017; JUAN CARLOS GARCIA UBAQUE
