;COD_RH;                 GRUPO;                NOMBRE SOFTWARE;                PAIS;                AÑO;                INSTITUCIÓN FINANCIADORA;                AUTORES;Unnamed: 7
0;1394;GIIRA;Ergosent;Colombia;2020; ; CARLOS ENRIQUE MONTENEGRO MARIN;
1;1394;GIIRA;CLITEMA;Colombia;2020; ; CARLOS ENRIQUE MONTENEGRO MARIN;
2;1394;GIIRA;GARDEN'SPECIES D&M;Colombia;2020; ; CARLOS ENRIQUE MONTENEGRO MARIN;
3;1394;GIIRA;INTREAP;Colombia;2020; ; CARLOS ENRIQUE MONTENEGRO MARIN;
4;1394;GIIRA;AR METEOROLOGY;Colombia;2020; ; CARLOS ENRIQUE MONTENEGRO MARIN;
5;1394;GIIRA;DAPP-ICDH;;2020; ; CARLOS ENRIQUE MONTENEGRO MARIN;
6;1394;GIIRA;AAT Ontology VR;Colombia;2019; ; CARLOS ENRIQUE MONTENEGRO MARIN;
7;1394;GIIRA;Simulador del comportamiento de una cadena de bloques;Colombia;2019; UNIVERSIDAD DISTRITAL FRANCISCO JOSÉ DE CALDAS; ROBERTO ALBEIRO PAVA DIAZ, NANCY YANETH GELVEZ GARCIA, NELSON ENRIQUE VERA PARRA;
8;1394;GIIRA;VORA;Colombia;2018; ; CARLOS ENRIQUE MONTENEGRO MARIN;
9;1394;GIIRA;IDENTIICACION DE OPORTUNIDADES ESPECTRALES;Colombia;2018; ; NANCY YANETH GELVEZ GARCIA;
10;1394;GIIRA;SISTEMA RECOMENDADOR DE RECORRIDOS EN MUSEOS DE ARTE VIRTUALIZADOS.;Colombia;2018; ; NANCY YANETH GELVEZ GARCIA, NELSON ENRIQUE VERA PARRA, ROBERTO ALBEIRO PAVA DIAZ;
11;1394;GIIRA;Codificación de JSON usando caos;Colombia;2017; Universidad Distrital Francisco José de Caldas; OSWALDO ALBERTO ROMERO VILLALOBOS, NANCY YANETH GELVEZ GARCIA, EDWIN RIVAS TRUJILLO;
12;1394;GIIRA;Vis SKOS;Colombia;2017; ; CARLOS ENRIQUE MONTENEGRO MARIN;
13;1394;GIIRA;ENCRIP ATRAC CAOTICOS;Colombia;2017; ; NANCY YANETH GELVEZ GARCIA;
14;1394;GIIRA;CNP-GRAPH;Colombia;2016; UNIVERSIDAD DISTRITAL FRANCISCO JOSÉ DE CALDAS; CARLOS ENRIQUE MONTENEGRO MARIN, PAULO ALONSO GAONA GARCIA;
15;1394;GIIRA;Gamification-Apgame;Colombia;2016; UNIVERSIDAD DISTRITAL FRANCISCO JOSÉ DE CALDAS; CARLOS ENRIQUE MONTENEGRO MARIN, PAULO ALONSO GAONA GARCIA;
16;1394;GIIRA;Sistema de información móvil para rutas urbanas del SITP Bogotá;Colombia;2015; UNIVERSIDAD DISTRITAL FRANCISCO JOSÉ DE CALDAS; PAULO ALONSO GAONA GARCIA, CARLOS ENRIQUE MONTENEGRO MARIN;
