                 AUTOR,count
Oscar Danilo Montoya Giraldo,259
Carlos Enrique MONTENEGRO MARIN,128
Edwin Rivas Trujillo,121
Cesar Augusto Hernández Suárez,85
Fredy Hernán Martínez Sarmiento,81
Paulo Alonso Gaona García,71
Helbert Eduardo Espitia Cuchango,63
JOSE IGNACIO RODRIGUEZ MOLANO,54
Miguel José Espitia Rico,43
Ruben Javier MEDINA DAZA,40
Giovanny Mauricio TARAZONA BERMUDEZ,40
Roberto Ferro Escobar,38
Cesar Leonardo Trujillo Rodríguez,35
Javier Arturo Orjuela Castro,32
Victor Hugo MEDINA GARCÍA,32
Francisco Santamaría Piedrahita,31
Eduyn Ramiro Lopez Santana,30
Lilia Edith APARICIO PICO,27
Nelson Enrique Vera Parra,26
Hector Arturo Florez Fernandez,25
Cesar Augusto GARCÍA UBAQUE,25
German MÉNDEZ GIRALDO,23
Gustavo Adolfo Puerto Leguizamón,23
Juan Carlos Figueroa Garcia,22
Ernesto GOMEZ VARGAS,21
Herbert Enrique Rojas Cubides,19
Carlos Arturo Suárez Fajardo,19
Danilo Alfonso López Sarmiento,19
Jhon Francined Herrera Cubides,18
Luz Esperanza Bohorquez Arevalo,15
Elvis Eduardo Gaona Garcia,13
Nelson Leonardo Diaz Aldana,13
Alvaro Enrique ORTIZ DAVILA,13
Adriana Marcela  Vega| Escobar,12
Johann Alexander HERNANDEZ MORA,12
Alvaro Espinel Ortega,10
José Andelfo Lizcano Caro,10
Diana Marcela Ovalle  Martínez,10
Adolfo Andrés Jaramillo Matta,9
Leonardo Plazas Nossa,8
Lindsay ALVAREZ POMAR,8
Diego Julian Rodriguez Patarroyo,8
miguel melgarejo melgarejo,8
Luz Andrea RODRIGUEZ ROJAS,8
Julio Barón Velandia,6
Luini Leonardo Hurtado Cortés,6
Clara Inés Buriticá Arboleda,6
Sandro Javier Bolaños Castro,6
Marco Aurelio Alzate Monroy,5
José Danilo Rairán Antolines,5
PABLO EMILIO ROZO GARCIA,5
César Amílcar López Bello,5
Julián Andres Salamanca Bernal,4
Julian Alfonso Tristancho Ortiz,4
Ruth Esperanza ROMÁN CASTILLO,2
Beitmantt Geovanni Cardenas Quintero,2
Javier Parra Peña,2
