COD_RH;                 NOMBRE;                 TIPO;                 TITULO;                FECHAI;                FECHAF;
0000217344;Elvis Eduardo Gaona Garcia;Investigación y desarrollo;Evaluación de una red IOT de rango amplio bajo el estándar LORA;Diciembre 2016;Mayo 2019;
0000217344;Elvis Eduardo Gaona Garcia;Investigación y desarrollo;Arquitectura de red de sensores inalámbrico en malla para la gestión eficiente de recursos de una microrred eléctrica;Marzo 2019;Julio 2021;
0000217344;Elvis Eduardo Gaona Garcia;Investigación y desarrollo;Evaluación de la condición de vegetación en cultivos de papa a partir del análisis de imágenes obtenidas con drones;Febrero 2019;Junio 2020;
0000217344;Elvis Eduardo Gaona Garcia;Investigación y desarrollo;CubesatUD Estación Terrena Bogotá;Agosto 2005;Enero 2008;
0000217344;Elvis Eduardo Gaona Garcia;Investigación y desarrollo;Sistema de Seguimiento de un picosatélite;Octubre 2007 Fin proyectadoAgosto 2008;Agosto 2008;
0000217344;Elvis Eduardo Gaona Garcia;Investigación y desarrollo;Dispositivos pasivos de Microondas en Tecnología Microstrip;Febrero 2008 Fin proyectadoDiciembre 2008;Junio 2009;
0000217344;Elvis Eduardo Gaona Garcia;Investigación y desarrollo;Infraestructura de Medición Avanzada para Microrredes Eléctricas;Marzo 2016;Pendiente;
0000217344;Elvis Eduardo Gaona Garcia;Investigación y desarrollo;Generación de un HSM hardware security module para su uso en red de sensores en aplicaciones de gestión energética y robótica;Agosto 2017;Pendiente;
0000217344;Elvis Eduardo Gaona Garcia;Investigación y desarrollo;DESARROLLO DE UN SISTEMA DE MEDICIN AVANZDO PARA REGISTRO DE PARMETROS ELCTRICOS DE ESTADO ESTABLE Y DE CALIDAD DE ENERGA EN REDES DE TENSIN MENOR A 1 KV;Junio 2015;Pendiente;
0000217344;Elvis Eduardo Gaona Garcia;Investigación y desarrollo;Metodología para el diseño y planificación de redes de televisión digital terrestre en entornos urbanos y rurales de Colombia;Enero 2016;Pendiente;
0000217344;Elvis Eduardo Gaona Garcia;Investigación y desarrollo;Desarrollo de generadores de vórtice activos bioinspirados para rotores eólicos en zonas rurales de Cundinamarca mediante CFD;Enero 2020;Pendiente;
0000217344;Elvis Eduardo Gaona Garcia;Investigación, desarrollo e Innovación;Metodología para la Implementación de un Sistema de Comunicaciones en Microrredes Electricas;Septiembre 2013 Fin proyectadoMarzo 2015;Agosto 2017;
0000217344;Elvis Eduardo Gaona Garcia;Investigación y desarrollo;CubesatUD Telemedicina y Telemetría;Septiembre 2008 Fin proyectadoDiciembre 2013;Pendiente;
0000217344;Elvis Eduardo Gaona Garcia;Investigación y desarrollo;Wireless Sensor Network;Junio 2016 Fin proyectadoSeptiembre 2011;Diciembre 2016;
0000292915;Carlos Enrique MONTENEGRO MARIN;Investigación y desarrollo;Desarrollo de un proceso para la produccion de biopolimeros biodegradables polihidroxialcanoatos a traves de materias primas renovables utilizando cultivos mixtos y lodos provenientes de plantas de tratamiento de agua residuales;Marzo 2021;Pendiente;
0000292915;Carlos Enrique MONTENEGRO MARIN;Investigación y desarrollo;Modelo para la vinculación de recursos educativos digitales abiertos mediante Linked Open Data, para la Universidad Distrital Francisco José de Caldas;Febrero 2019;Pendiente;
0000292915;Carlos Enrique MONTENEGRO MARIN;Investigación y desarrollo;Algoritmo de optimización multiobjetivo basado en comportamientos emergentes de enjambres;Enero 2016;Agosto 2017;
0000292915;Carlos Enrique MONTENEGRO MARIN;Investigación y desarrollo;Propuesta de un modelo para la prediccion de ruido por trafico rodado a partir de aprendizaje automatico que ofrezca informacion potencialmente util en los procesos de gestion ambiental del ruido en entornos urbanos de Bogota;Marzo 2021;Pendiente;
0000292915;Carlos Enrique MONTENEGRO MARIN;Investigación y desarrollo;Desarrollo de un sistema gamificado de autonomia del estudiante y de acompaamiento docente en ambientes virtuales de aprendizaje, para el fortalecimiento de la educacion virtual en el Departamento de Antioquia;Agosto 2019;Pendiente;
