,COD_RH,                 AUTOR,                TITULO,                AÑO,                LUGAR,                REVISTA,                EDITORIAL,                ISSN,Unnamed: 8,Cuartil,Publindex
0,0000202355,Lindsay ALVAREZ POMAR,Los Sistemas Peatonales Como Sistemas De Transporte,2015,Colombia,Revista Científica,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,01242253,,No Clasificado,No Clasificado
1,0000202355,Lindsay ALVAREZ POMAR,Pedestrian systems design,2014,Colombia,Tecnura,Editorial UD Editorial Universidad Distrital Francisco José de Caldas,22487638,,No Clasificado,No Clasificado
2,0000202355,Lindsay ALVAREZ POMAR,Metodología para la Construcción de la Base de Conocimiento de un Sistema Experto,2004,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
3,0000202355,Lindsay ALVAREZ POMAR,Diseño de Prototipo Diagnóstico para la PyME,2006,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
4,0000202355,Lindsay ALVAREZ POMAR,A Hybrid Genetic Algorithm and Particle Swarm Optimization for Flow Shop Scheduling Problems,2017,Alemania,Communications in Computer and Information Science,SpringerVerlag London Ltd,18650929,,Q4,No Clasificado
5,0000202355,Lindsay ALVAREZ POMAR,Uncertainty Model For Quantitative Precipitation Estimation Using Weather Radars,2016,Estados Unidos,International Journal of Interactive Multimedia and Artificial Intelligence,,19891660,,Q2,No Clasificado
6,0000202355,Lindsay ALVAREZ POMAR,Sectorial analysis of liquefied petroleum gas,2019,Colombia,Visión Electrónica Algo Más Que Un Estado Sólido,Fondo De Publicaciones De La Universidad Distrital,19099746,,No Clasificado,No Clasificado
7,0000202355,Lindsay ALVAREZ POMAR,Simulación y los A. G. para un problema de scheduling en sistemas de flujo flexible.,2009,Colombia,Ingeniería,Grupo Editorial Gaia,0121750X,,No Clasificado,No Clasificado
8,0000202355,Lindsay ALVAREZ POMAR,Impact of Personal Protection Habits on the Spread of Pandemics: Insights from an Agent-Based Model,2021,Reino Unido,The Scientific World Journal,Hindawi Limited,23566140,,Q2,No Clasificado
9,0000202355,Lindsay ALVAREZ POMAR,An agent-based tool for impact assessment of non-pharmaceutical interventions against COVID-19,2020,Colombia,TecnoLógicas,Instituto Tecnológico Metropolitano,22565337,,No Clasificado,No Clasificado
