COD_RH;                 AUTOR;                 TITULO;                 NUM_PAG;                 FECHA;                 LUGAR;                  EDITORIAL;                 ISBN;
0000202355;Lindsay ALVAREZ POMAR;Diseño de Prototipo Diagnóstico para la PyME;396;2004;Colombia;Universidad Distrital;9598175984;
0000202355;Lindsay ALVAREZ POMAR;INTRODUCCIN A LA SIMULACIN;210;2010;Colombia;Fondo De Publicaciones Universidad Distrital;xxxx;
0000202355;Lindsay ALVAREZ POMAR;Sistema experto para la programación de la producción  investigación y desarrollo de un prototipo;200;2013;Colombia;Fondo De Publicaciones Universidad Distrital Francisco Jose De Caldas;978-958-8782-42-3;
0000202355;Lindsay ALVAREZ POMAR;Introducción a la simulación discreta;;2015;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8832-97-5;
0000301167;Marco Aurelio Alzate Monroy;Derivas De Complejidad Aplicaciones Y Mediciones;329;2013;Colombia;Centro Editorial Universidad Del Rosario;978-958-738-271-6;
0000218405;Lilia Edith APARICIO PICO;Portal De Medicina Para Discapacitados;118;2006;Colombia;Fondo De Publicaciones Universidad Distrital;95-88247-38-1;
0000218405;Lilia Edith APARICIO PICO;Sistema de simulación del flujo de particulas para el picosatélite CubeSat UD;;2017;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-8972-85-5;
0000218405;Lilia Edith APARICIO PICO;Modelo de integración de servicios para el sistema de salud en Colombia;;2019;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-123-4;
0000218405;Lilia Edith APARICIO PICO;Laboratorio de telesalud y telemedicina Un modelo para implementar;;2020;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-175-3;
0000218405;Lilia Edith APARICIO PICO;Turbocódigos;;2019;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-100-5;
0000218405;Lilia Edith APARICIO PICO;Integración de subsistemas, análisis y pruebas del picosatélite CubesatUD Colombia1;;2019;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-068-8;
0000218405;Lilia Edith APARICIO PICO;OpenSITEM Caracterización de nodos en redes de telesalud;;2019;Colombia;Editorial UD Editorial Universidad Distrital Francisco José de Caldas;978-958-787-113-5;
0000218405;Lilia Edith APARICIO PICO;Gestion De Redes De Telemedicina;125;2003;Colombia;Pretextos Grupo Editorial;958-8175-68-2;
0000218405;Lilia Edith APARICIO PICO;Sistema De Gestión De Salud Para El Distrito, Sistema Integral De Referencia Y Contrarreferencia;174;2005;Colombia;Gaia;9589761410;
0000218405;Lilia Edith APARICIO PICO;Sistema De Gestión De Salud Para El Distrito, Sistema Integral De Referencia Y Contrarreferencia;73;2005;Colombia;Gaia;9589761410;
